Line 1: depth 0 (0 opens, 0 closes)
Line 2: depth 0 (0 opens, 0 closes)
Line 3: depth 0 (0 opens, 0 closes)
Line 4: depth 0 (0 opens, 0 closes)
Line 5: depth 0 (0 opens, 0 closes)
Line 6: depth 0 (0 opens, 0 closes)
Line 7: depth 0 (0 opens, 0 closes)
Line 8: depth 0 (0 opens, 0 closes)
Line 9: depth 0 (0 opens, 0 closes)
Line 10: depth 0 (0 opens, 0 closes)
Line 11: depth 0 (0 opens, 0 closes)
Line 12: depth 0 (0 opens, 0 closes)
Line 13: depth 0 (0 opens, 0 closes)
Line 14: depth 0 (0 opens, 0 closes)
Line 15: depth 0 (0 opens, 0 closes)
Line 16: depth 0 (0 opens, 0 closes)
Line 17: depth 0 (0 opens, 0 closes)
Line 18: depth 0 (0 opens, 0 closes)
Line 19: depth 0 (0 opens, 0 closes)
Line 20: depth 0 (0 opens, 0 closes)
Line 21: depth 0 (0 opens, 0 closes)
Line 22: depth 0 (0 opens, 0 closes)
Line 23: depth 0 (0 opens, 0 closes)
Line 24: depth 0 (0 opens, 0 closes)
Line 25: depth 0 (0 opens, 0 closes)
Line 26: depth 0 (0 opens, 0 closes)
Line 27: depth 0 (0 opens, 0 closes)
Line 28: depth 0 (0 opens, 0 closes)
Line 29: depth 0 (0 opens, 0 closes)
Line 30: depth 0 (0 opens, 0 closes)
Line 31: depth 0 (0 opens, 0 closes)
Line 32: depth 0 (0 opens, 0 closes)
Line 33: depth 0 (0 opens, 0 closes)
Line 34: depth 0 (0 opens, 0 closes)
Line 35: depth 0 (0 opens, 0 closes)
Line 36: depth 0 (0 opens, 0 closes)
Line 37: depth 0 (0 opens, 0 closes)
Line 38: depth 0 (0 opens, 0 closes)
Line 39: depth 0 (0 opens, 0 closes)
Line 40: depth 0 (0 opens, 0 closes)
Line 41: depth 0 (0 opens, 0 closes)
Line 42: depth 0 (0 opens, 0 closes)
Line 43: depth 0 (0 opens, 0 closes)
Line 44: depth 0 (0 opens, 0 closes)
Line 45: depth 0 (0 opens, 0 closes)
Line 46: depth 0 (0 opens, 0 closes)
Line 47: depth 0 (0 opens, 0 closes)
Line 48: depth 0 (0 opens, 0 closes)
Line 49: depth 0 (0 opens, 0 closes)
Line 50: depth 0 (0 opens, 0 closes)
Line 51: depth 0 (0 opens, 0 closes)
Line 52: depth 0 (0 opens, 0 closes)
Line 53: depth 0 (0 opens, 0 closes)
